activity_index,br,hr,infrared_perf,sleep_classes,temp,time
11,14.3855121536427,54.1463746743996,1444,0,3423,1485382985
11,14.3828170610377,54.443183037403,1447,0,3423,1485382995
11,14.3801067017682,54.3870082001142,1446,0,3423,1485383005
11,14.3775566710462,54.1363678431643,1448,0,3423,1485383015
11,14.3754218998884,54.0477140739338,1451,0,3423,1485383025
10,14.3735403824197,53.9693776189028,1460,0,3423,1485383035
10,14.3719860666004,53.8002344550801,1469,0,3423,1485383045
10,14.370799338635,53.4973123234606,1479,0,3423,1485383055
12,14.3697322754548,53.124336115733,1497,0,3423,1485383065
10,14.3688684218717,53.0888831704047,1512,0,3424,1485383075
11,14.3682867248953,53.4577059795758,1515,0,3429,1485383086
10,14.3681455677665,53.6553839993788,1513,0,3435,1485383096
10,14.3681455677665,53.7284551872374,1513,0,3438,1485383106
11,14.3686691662466,53.6549358334116,1534,0,3443,1485383116
11,14.3701279402615,53.4746124046032,1565,0,3445,1485383126
10,14.3719774541974,53.5912690873681,1579,0,3446,1485383136
11,14.3749237549131,53.9122596916174,1583,0,3446,1485383146
10,14.3787366208979,54.1859536780798,1583,0,3446,1485383156
9,14.3833168181378,54.4025763516473,1580,0,3446,1485383166
11,14.3894068368138,54.337913820614,1577,0,3446,1485383176
11,14.3962024778398,54.227964362437,1577,0,3446,1485383186
10,14.4048704992279,54.2940855693364,1574,0,3446,1485383196
9,14.415017877029,54.4830644975227,1572,0,3446,1485383206
11,14.4258608219775,54.7112556802933,1572,0,3446,1485383216
10,14.4379112501983,54.8149382570916,1573,0,3446,1485383226
12,14.4505260012279,54.7463815587821,1582,0,3446,1485383236
11,14.4631621102099,54.2977592963089,1588,0,3447,1485383246
10,14.4758150939682,53.6659850365351,1593,0,3449,1485383256
10,14.4879440857029,53.2533825268857,1590,0,3457,1485383266
10,14.4989007146853,53.1545451018864,1571,0,3457,1485383276
10,14.5103503069457,53.5291910359969,1551,0,3462,1485383287
10,14.5181636587883,53.9203100824791,1545,0,3465,1485383297
11,14.5245443737208,53.9264731911177,1546,0,3468,1485383307
10,14.5295818845425,53.7819675888718,1551,0,3468,1485383317
10,14.5322174612034,53.7265718361149,1557,0,3470,1485383327
10,14.5327657625929,53.8304890679211,1551,0,3470,1485383337
11,14.5327657625929,53.8531017553069,1553,0,3470,1485383347
10,14.5318267007105,54.04009386054,1555,0,3470,1485383357
12,14.5294393334734,54.5262206389078,1558,0,3470,1485383367
11,14.5254518764332,54.814772039941,1564,0,3470,1485383377
10,14.5209707615665,54.8712534352138,1568,0,3470,1485383387
10,14.5156949155127,54.7287397112833,1562,0,3470,1485383397
9,14.5099803807732,54.3736607495847,1564,0,3470,1485383407
11,14.5042800261215,54.386064093431,1565,0,3470,1485383417
11,14.4986916465617,54.8855175961806,1563,0,3470,1485383427
10,14.4931409304819,55.1149499235748,1563,0,3471,1485383437
12,14.4879533207126,54.9766065929861,1565,0,3472,1485383447
10,14.4829661440696,54.8807336700034,1568,0,3477,1485383457
11,14.4779259543131,54.7938345857645,1581,0,3482,1485383467
10,14.472218676099,54.740893515559,1585,0,3487,1485383478
9,14.4669862562805,54.5475175741214,1585,0,3490,1485383488
10,14.4610220124736,54.04105414713,1587,0,3489,1485383498
11,14.4547844882589,53.6357977128589,1590,0,3492,1485383508
10,14.4482834577898,53.7643123419883,1593,0,3493,1485383518
11,14.4413455803049,54.1986205420925,1601,0,3493,1485383528
10,14.434313548888,54.4521750036197,1612,0,3493,1485383538
10,14.4270884748872,54.565442879257,1608,0,3493,1485383548
10,14.4197913143303,54.4476339065942,1600,0,3493,1485383558
11,14.4124786675548,54.509701426942,1601,0,3493,1485383568
11,14.405148741422,54.8391268667001,1604,0,3493,1485383578
11,14.3978150910587,55.0907004393154,1601,0,3493,1485383588
11,14.3906379004995,55.1025552106201,1598,0,3493,1485383598
12,14.383519135548,55.0487094637705,1601,0,3493,1485383608
10,14.3765301052888,55.0733707723904,1603,0,3493,1485383618
11,14.3697675564638,54.8387713320445,1600,0,3493,1485383628
10,14.3630538213082,54.8469761284882,1603,0,3494,1485383638
9,14.3564164769575,55.1039416411728,1602,0,3495,1485383648
11,14.3498076586045,55.1852698998729,1609,0,3497,1485383658
11,14.3429164201464,54.9171176101821,1616,0,3502,1485383668
11,14.3347569359459,54.3566597273725,1605,0,3506,1485383679
11,14.3272380496682,54.0959918705642,1595,0,3511,1485383689
12,14.3181258944611,54.1582613322382,1597,0,3514,1485383699
11,14.3086400660913,54.4192355705241,1600,0,3515,1485383709
10,14.298277846208,54.6531866163171,1604,0,3516,1485383719
11,14.2864848620018,54.9308113171502,1609,0,3516,1485383729
11,14.2745434538863,54.9346080800166,1610,0,3516,1485383739
11,14.2609148953476,54.5281230094848,1610,0,3516,1485383749
11,14.2468906464108,54.0702590326242,1613,0,3517,1485383759
10,14.2324536557657,53.8559033474166,1613,0,3517,1485383769
9,14.2173643485559,54.3137787946905,1616,0,3517,1485383779
11,14.2022073716677,54.8741694354084,1618,0,3517,1485383789
10,14.1866869805366,54.797235482954,1619,0,3517,1485383799
11,14.1710813574336,54.5969883100225,1626,0,3517,1485383809
9,14.155592365048,54.6330682628911,1639,0,3517,1485383819
10,14.1403069913914,54.604631325774,1653,0,3517,1485383829
11,14.1250427406263,54.4459069055561,1659,0,3517,1485383839
9,14.1111637064656,54.3713257484533,1661,0,3517,1485383849
12,14.0976095479586,54.6351917108927,1671,0,3517,1485383859
11,14.0838558646117,55.1161786271755,1676,0,3518,1485383870
10,14.0732299049277,55.0497780404053,1675,0,3519,1485383880
11,14.0626039452436,54.4304787602196,1678,0,3525,1485383890
11,14.0554124822298,54.5005999882245,1682,0,3529,1485383900
11,14.0486449009039,55.54378032974,1685,0,3532,1485383910
11,14.0434101420339,56.1060400180618,1686,0,3536,1485383920
12,14.0405714625513,55.6187539785808,1688,0,3536,1485383930
10,14.0379118024917,54.6374234701976,1678,0,3538,1485383940
10,14.0379118024917,54.2498065985861,1666,0,3538,1485383950
11,14.0379118024917,55.3329657632295,1661,0,3538,1485383960
11,14.0388076319807,56.1779331622723,1662,0,3539,1485383970
10,14.040697840141,55.7717370653589,1665,0,3540,1485383980
11,14.0425880483013,54.6934210068696,1673,0,3540,1485383990
10,14.0444705205217,53.8974950136719,1681,0,3540,1485384000
11,14.0463520379905,53.8568067629442,1684,0,3540,1485384010
8,14.0478619791349,53.9401637621146,1689,0,3540,1485384020
10,14.0487910814486,53.7978629080647,1694,0,3540,1485384030
11,14.0497201837623,53.6938874112595,1695,0,3540,1485384040
9,14.0498472307714,54.2390142174466,1695,0,3540,1485384050
10,14.049883133814,54.9071505076963,1696,0,3540,1485384061
11,14.0499694415173,54.6236099827683,1700,0,3541,1485384071
10,14.0501266177315,53.6771881163807,1704,0,3540,1485384081
11,14.0503833369114,53.1341741646448,1713,0,3540,1485384091
11,14.0515482280227,53.4353237051291,1726,0,3540,1485384101
11,14.0528785420301,54.2720818297133,1732,0,3541,1485384111
12,14.0547883063949,54.4254283288042,1735,0,3541,1485384121
